(20,)
[ 2  8  8  3  3 -1 -1  2  0  0  0  0  0  0  0  0  0  0  0  0]
source,t,order,variable,value
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.8, position, x, 8
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.8, velocity, x, 0
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.8, acceleration, x, 0
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.8200000000000001, position, x, 8
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.8200000000000001, velocity, x, 0
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.8200000000000001, acceleration, x, 0
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.8400000000000001, position, x, 8
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.8400000000000001, velocity, x, 0
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.8400000000000001, acceleration, x, 0
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.8600000000000001, position, x, 8
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.8600000000000001, velocity, x, 0
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.8600000000000001, acceleration, x, 0
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.8800000000000001, position, x, 8
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.8800000000000001, velocity, x, 0
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.8800000000000001, acceleration, x, 0
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.9000000000000001, position, x, 8
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.9000000000000001, velocity, x, 0
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.9000000000000001, acceleration, x, 0
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.9200000000000002, position, x, 8
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.9200000000000002, velocity, x, 0
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.9200000000000002, acceleration, x, 0
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.9400000000000002, position, x, 8
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.9400000000000002, velocity, x, 0
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.9400000000000002, acceleration, x, 0
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.9600000000000002, position, x, 8
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.9600000000000002, velocity, x, 0
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.9600000000000002, acceleration, x, 0
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.9800000000000002, position, x, 8
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.9800000000000002, velocity, x, 0
1d_trajectories/cubic_zero_derivative_spline_example.json, 0.9800000000000002, acceleration, x, 0
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.0000000000000002, position, x, 0.0023219880328363973
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.0000000000000002, velocity, x, -0.17435632350477753
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.0000000000000002, acceleration, x, -0.8291105482887282
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.0200000000000002, position, x, -0.0013326183257300617
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.0200000000000002, velocity, x, -0.1911872012925236
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.0200000000000002, acceleration, x, -0.8539772304858677
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.0400000000000003, position, x, -0.005328815576490786
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.0400000000000003, velocity, x, -0.2085154127242123
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.0400000000000003, acceleration, x, -0.8788439126830072
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.0600000000000003, position, x, -0.009676550392324818
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.0600000000000003, velocity, x, -0.22634095779984392
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.0600000000000003, acceleration, x, -0.9037105948801467
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.0800000000000003, position, x, -0.014385769446110863
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.0800000000000003, velocity, x, -0.2446638365194182
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.0800000000000003, acceleration, x, -0.9285772770772862
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.1000000000000003, position, x, -0.019466419410727798
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.1000000000000003, velocity, x, -0.26348404888293536
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.1000000000000003, acceleration, x, -0.9534439592744257
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.1200000000000003, position, x, -0.024928446959054607
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.1200000000000003, velocity, x, -0.2828015948903953
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.1200000000000003, acceleration, x, -0.978310641471565
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.1400000000000003, position, x, -0.03078179876396997
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.1400000000000003, velocity, x, -0.30261647454179796
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.1400000000000003, acceleration, x, -1.0031773236687045
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.1600000000000004, position, x, -0.03703642149835279
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.1600000000000004, velocity, x, -0.32292868783714346
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.1600000000000004, acceleration, x, -1.028044005865844
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.1800000000000004, position, x, -0.04370226183508197
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.1800000000000004, velocity, x, -0.34373823477643184
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.1800000000000004, acceleration, x, -1.0529106880629835
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.2000000000000004, position, x, -0.05078926644703635
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.2000000000000004, velocity, x, -0.365045115359663
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.2000000000000004, acceleration, x, -1.077777370260123
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.2200000000000004, position, x, -0.05830738200709479
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.2200000000000004, velocity, x, -0.3868493295868367
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.2200000000000004, acceleration, x, -1.1026440524572625
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.2400000000000004, position, x, -0.06626655518813607
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.2400000000000004, velocity, x, -0.4091508774579534
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.2400000000000004, acceleration, x, -1.127510734654402
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.2600000000000005, position, x, -0.07467673266303926
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.2600000000000005, velocity, x, -0.4319497589730128
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.2600000000000005, acceleration, x, -1.1523774168515413
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.2800000000000005, position, x, -0.08354786110468287
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.2800000000000005, velocity, x, -0.45524597413201495
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.2800000000000005, acceleration, x, -1.1772440990486808
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.3000000000000005, position, x, -0.0928898871859461
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.3000000000000005, velocity, x, -0.4790395229349601
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.3000000000000005, acceleration, x, -1.2021107812458203
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.3200000000000005, position, x, -0.1027127575797076
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.3200000000000005, velocity, x, -0.5033304053818479
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.3200000000000005, acceleration, x, -1.2269774634429598
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.3400000000000005, position, x, -0.1130264189588463
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.3400000000000005, velocity, x, -0.5281186214726786
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.3400000000000005, acceleration, x, -1.2518441456400993
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.3600000000000005, position, x, -0.12384081799624103
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.3600000000000005, velocity, x, -0.553404171207452
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.3600000000000005, acceleration, x, -1.2767108278372388
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.3800000000000006, position, x, -0.13516590136477075
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.3800000000000006, velocity, x, -0.5791870545861683
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.3800000000000006, acceleration, x, -1.3015775100343783
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.4000000000000006, position, x, -0.14701161573731408
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.4000000000000006, velocity, x, -0.605467271608827
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.4000000000000006, acceleration, x, -1.3264441922315175
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.4200000000000006, position, x, -0.15938790778675005
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.4200000000000006, velocity, x, -0.632244822275429
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.4200000000000006, acceleration, x, -1.351310874428657
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.4400000000000006, position, x, -0.1723047241859575
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.4400000000000006, velocity, x, -0.6595197065859735
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.4400000000000006, acceleration, x, -1.3761775566257965
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.4600000000000006, position, x, -0.18577201160781526
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.4600000000000006, velocity, x, -0.6872919245404608
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.4600000000000006, acceleration, x, -1.401044238822936
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.4800000000000006, position, x, -0.1997997167252022
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.4800000000000006, velocity, x, -0.7155614761388911
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.4800000000000006, acceleration, x, -1.4259109210200756
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.5000000000000007, position, x, -0.21439778621099725
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.5000000000000007, velocity, x, -0.744328361381264
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.5000000000000007, acceleration, x, -1.450777603217215
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.5200000000000007, position, x, -0.22957616673807918
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.5200000000000007, velocity, x, -0.7735925802675797
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.5200000000000007, acceleration, x, -1.4756442854143546
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.5400000000000007, position, x, -0.24534480497932676
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.5400000000000007, velocity, x, -0.803354132797838
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.5400000000000007, acceleration, x, -1.5005109676114938
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.5600000000000007, position, x, -0.26171364760761895
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.5600000000000007, velocity, x, -0.8336130189720395
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.5600000000000007, acceleration, x, -1.5253776498086333
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.5800000000000007, position, x, -0.2786926412958346
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.5800000000000007, velocity, x, -0.8643692387901833
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.5800000000000007, acceleration, x, -1.5502443320057728
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.6000000000000008, position, x, -0.2962917327168527
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.6000000000000008, velocity, x, -0.8956227922522703
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.6000000000000008, acceleration, x, -1.5751110142029123
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.6200000000000008, position, x, -0.31452086854355177
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.6200000000000008, velocity, x, -0.9273736793582998
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.6200000000000008, acceleration, x, -1.5999776964000516
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.6400000000000008, position, x, -0.333389995448811
1d_trajectories/cubic_zero_derivative_spline_example.json, 1.6400000000000008, velocity, x, -0.9596219001082725
